app_name,status,source,output,seconds,detail,command
machsuite-gemm-blocked,generated,/home/elvouvali/MailoHLS/Data/ApplicationDataset/machsuite-gemm-blocked/gemm.c,/home/elvouvali/MailoHLS/GNN_branch/MLIR_graphs/machsuite-gemm-blocked.gexf,1.316,"67 nodes, 239 edges, 5 actions",/home/elvouvali/.mlir-python311/bin/python /home/elvouvali/MailoHLS/GNN_branch/mlir_graph_gen.py /home/elvouvali/MailoHLS/Data/ApplicationDataset/machsuite-gemm-blocked/gemm.c --output /home/elvouvali/MailoHLS/GNN_branch/MLIR_graphs/.machsuite-gemm-blocked.gexf.tmp --cgeist /home/elvouvali/tools/Polygeist/build-mailohls-assertions/bin/cgeist --mlir-output /home/elvouvali/MailoHLS/GNN_branch/MLIR_graphs/audit_mlir/.machsuite-gemm-blocked.mlir.tmp
machsuite-gemm-ncubed,generated,/home/elvouvali/MailoHLS/Data/ApplicationDataset/machsuite-gemm-ncubed/gemm.c,/home/elvouvali/MailoHLS/GNN_branch/MLIR_graphs/machsuite-gemm-ncubed.gexf,1.376,"56 nodes, 193 edges, 3 actions",/home/elvouvali/.mlir-python311/bin/python /home/elvouvali/MailoHLS/GNN_branch/mlir_graph_gen.py /home/elvouvali/MailoHLS/Data/ApplicationDataset/machsuite-gemm-ncubed/gemm.c --output /home/elvouvali/MailoHLS/GNN_branch/MLIR_graphs/.machsuite-gemm-ncubed.gexf.tmp --cgeist /home/elvouvali/tools/Polygeist/build-mailohls-assertions/bin/cgeist --mlir-output /home/elvouvali/MailoHLS/GNN_branch/MLIR_graphs/audit_mlir/.machsuite-gemm-ncubed.mlir.tmp
machsuite-md-knn,generated,/home/elvouvali/MailoHLS/Data/ApplicationDataset/machsuite-md-knn/md.c,/home/elvouvali/MailoHLS/GNN_branch/MLIR_graphs/machsuite-md-knn.gexf,1.388,"138 nodes, 507 edges, 2 actions",/home/elvouvali/.mlir-python311/bin/python /home/elvouvali/MailoHLS/GNN_branch/mlir_graph_gen.py /home/elvouvali/MailoHLS/Data/ApplicationDataset/machsuite-md-knn/md.c --output /home/elvouvali/MailoHLS/GNN_branch/MLIR_graphs/.machsuite-md-knn.gexf.tmp --cgeist /home/elvouvali/tools/Polygeist/build-mailohls-assertions/bin/cgeist --mlir-output /home/elvouvali/MailoHLS/GNN_branch/MLIR_graphs/audit_mlir/.machsuite-md-knn.mlir.tmp
machsuite-sort-radix,generated,/home/elvouvali/MailoHLS/Data/ApplicationDataset/machsuite-sort-radix/sort.c,/home/elvouvali/MailoHLS/GNN_branch/MLIR_graphs/machsuite-sort-radix.gexf,1.609,"311 nodes, 1191 edges, 11 actions",/home/elvouvali/.mlir-python311/bin/python /home/elvouvali/MailoHLS/GNN_branch/mlir_graph_gen.py /home/elvouvali/MailoHLS/Data/ApplicationDataset/machsuite-sort-radix/sort.c --output /home/elvouvali/MailoHLS/GNN_branch/MLIR_graphs/.machsuite-sort-radix.gexf.tmp --cgeist /home/elvouvali/tools/Polygeist/build-mailohls-assertions/bin/cgeist --mlir-output /home/elvouvali/MailoHLS/GNN_branch/MLIR_graphs/audit_mlir/.machsuite-sort-radix.mlir.tmp
machsuite-spmv-ellpack,generated,/home/elvouvali/MailoHLS/Data/ApplicationDataset/machsuite-spmv-ellpack/spmv.c,/home/elvouvali/MailoHLS/GNN_branch/MLIR_graphs/machsuite-spmv-ellpack.gexf,1.214,"58 nodes, 204 edges, 2 actions",/home/elvouvali/.mlir-python311/bin/python /home/elvouvali/MailoHLS/GNN_branch/mlir_graph_gen.py /home/elvouvali/MailoHLS/Data/ApplicationDataset/machsuite-spmv-ellpack/spmv.c --output /home/elvouvali/MailoHLS/GNN_branch/MLIR_graphs/.machsuite-spmv-ellpack.gexf.tmp --cgeist /home/elvouvali/tools/Polygeist/build-mailohls-assertions/bin/cgeist --mlir-output /home/elvouvali/MailoHLS/GNN_branch/MLIR_graphs/audit_mlir/.machsuite-spmv-ellpack.mlir.tmp
machsuite-stencil2d,generated,/home/elvouvali/MailoHLS/Data/ApplicationDataset/machsuite-stencil2d/stencil.c,/home/elvouvali/MailoHLS/GNN_branch/MLIR_graphs/machsuite-stencil2d.gexf,1.199,"65 nodes, 229 edges, 4 actions",/home/elvouvali/.mlir-python311/bin/python /home/elvouvali/MailoHLS/GNN_branch/mlir_graph_gen.py /home/elvouvali/MailoHLS/Data/ApplicationDataset/machsuite-stencil2d/stencil.c --output /home/elvouvali/MailoHLS/GNN_branch/MLIR_graphs/.machsuite-stencil2d.gexf.tmp --cgeist /home/elvouvali/tools/Polygeist/build-mailohls-assertions/bin/cgeist --mlir-output /home/elvouvali/MailoHLS/GNN_branch/MLIR_graphs/audit_mlir/.machsuite-stencil2d.mlir.tmp
machsuite-stencil3d,generated,/home/elvouvali/MailoHLS/Data/ApplicationDataset/machsuite-stencil3d/stencil.c,/home/elvouvali/MailoHLS/GNN_branch/MLIR_graphs/machsuite-stencil3d.gexf,1.323,"137 nodes, 567 edges, 9 actions",/home/elvouvali/.mlir-python311/bin/python /home/elvouvali/MailoHLS/GNN_branch/mlir_graph_gen.py /home/elvouvali/MailoHLS/Data/ApplicationDataset/machsuite-stencil3d/stencil.c --output /home/elvouvali/MailoHLS/GNN_branch/MLIR_graphs/.machsuite-stencil3d.gexf.tmp --cgeist /home/elvouvali/tools/Polygeist/build-mailohls-assertions/bin/cgeist --mlir-output /home/elvouvali/MailoHLS/GNN_branch/MLIR_graphs/audit_mlir/.machsuite-stencil3d.mlir.tmp
machsuite-viterbi,generated,/home/elvouvali/MailoHLS/Data/ApplicationDataset/machsuite-viterbi/viterbi.c,/home/elvouvali/MailoHLS/GNN_branch/MLIR_graphs/machsuite-viterbi.gexf,1.412,"251 nodes, 983 edges, 8 actions",/home/elvouvali/.mlir-python311/bin/python /home/elvouvali/MailoHLS/GNN_branch/mlir_graph_gen.py /home/elvouvali/MailoHLS/Data/ApplicationDataset/machsuite-viterbi/viterbi.c --output /home/elvouvali/MailoHLS/GNN_branch/MLIR_graphs/.machsuite-viterbi.gexf.tmp --cgeist /home/elvouvali/tools/Polygeist/build-mailohls-assertions/bin/cgeist --mlir-output /home/elvouvali/MailoHLS/GNN_branch/MLIR_graphs/audit_mlir/.machsuite-viterbi.mlir.tmp
rodinia-backprop-0-baseline-back,generated,/home/elvouvali/MailoHLS/Data/ApplicationDataset/rodinia-backprop-0-baseline-back/backprop_kernel.cpp,/home/elvouvali/MailoHLS/GNN_branch/MLIR_graphs/rodinia-backprop-0-baseline-back.gexf,1.447,"76 nodes, 276 edges, 2 actions",/home/elvouvali/.mlir-python311/bin/python /home/elvouvali/MailoHLS/GNN_branch/mlir_graph_gen.py /home/elvouvali/MailoHLS/Data/ApplicationDataset/rodinia-backprop-0-baseline-back/backprop_kernel.cpp --output /home/elvouvali/MailoHLS/GNN_branch/MLIR_graphs/.rodinia-backprop-0-baseline-back.gexf.tmp --cgeist /home/elvouvali/tools/Polygeist/build-mailohls-assertions/bin/cgeist --mlir-output /home/elvouvali/MailoHLS/GNN_branch/MLIR_graphs/audit_mlir/.rodinia-backprop-0-baseline-back.mlir.tmp
rodinia-backprop-0-baseline-forward,generated,/home/elvouvali/MailoHLS/Data/ApplicationDataset/rodinia-backprop-0-baseline-forward/backprop_kernel.cpp,/home/elvouvali/MailoHLS/GNN_branch/MLIR_graphs/rodinia-backprop-0-baseline-forward.gexf,1.567,"209 nodes, 748 edges, 6 actions",/home/elvouvali/.mlir-python311/bin/python /home/elvouvali/MailoHLS/GNN_branch/mlir_graph_gen.py /home/elvouvali/MailoHLS/Data/ApplicationDataset/rodinia-backprop-0-baseline-forward/backprop_kernel.cpp --output /home/elvouvali/MailoHLS/GNN_branch/MLIR_graphs/.rodinia-backprop-0-baseline-forward.gexf.tmp --cgeist /home/elvouvali/tools/Polygeist/build-mailohls-assertions/bin/cgeist --mlir-output /home/elvouvali/MailoHLS/GNN_branch/MLIR_graphs/audit_mlir/.rodinia-backprop-0-baseline-forward.mlir.tmp
