Version,Device,Clock_Period_nsec,Latency_msec,Synthesis_Time_sec,BRAM_Utilization_percentage,DSP_Utilization_percentage,FF_Utilization_percentage,LUT_Utilization_percentage,Array_1,Array_2,Array_3,Array_4,Array_5,Array_6,Array_7,Array_8,Array_9,Array_10,Array_11,Array_12,Array_13,Array_14,OuterLoop_1,OuterLoop_2,OuterLoop_3,InnerLoop_1_1,Replicate_Count,Area,Weight,is_pareto
workload_5073.cpp,xcu200-fsgd2104-2-e,3.33,2.47161591,253,2,0,3,10,block_2_1,block_16_1,block_2_1,block_16_1,block_32_1,block_8_1,cyclic_4_1,cyclic_128_1,cyclic_4_1,cyclic_16_1,cyclic_2_1,cyclic_16_1,block_8_1,complete_1,unroll_8,pipeline_1,unroll_32,pipeline_1,1,3.75,0.84636716349,False
workload_5260.cpp,xcu200-fsgd2104-2-e,3.33,1.45859328,129,2,0,2,5,block_2_1,block_16_1,block_2_1,cyclic_32_1,block_2_1,block_8_1,block_4_1,block_4_1,cyclic_16_1,cyclic_4_1,cyclic_32_1,cyclic_32_1,cyclic_8_1,complete_1,unroll_4,pipeline_1,unroll_16,pipeline_1,1,2.25,0.957324899993,False
workload_5358.cpp,xcu200-fsgd2104-2-e,3.33,1.45768752,159,2,0,2,7,block_2_1,block_16_1,block_2_1,cyclic_32_1,cyclic_2_1,block_16_1,block_4_1,block_4_1,cyclic_16_1,cyclic_4_1,cyclic_32_1,cyclic_32_1,cyclic_128_1,complete_1,unroll_4,pipeline_1,unroll_16,pipeline_1,1,2.75,0.936983406785,False
workload_5182.cpp,xcu200-fsgd2104-2-e,3.33,1.45137717,189,2,0,2,9,block_2_1,block_16_1,block_64_1,block_16_1,block_2_1,block_4_1,block_4_1,block_4_1,block_128_1,block_8_1,cyclic_32_1,block_64_1,cyclic_8_1,complete_1,unroll_2,pipeline_1,unroll_16,pipeline_1,1,3.25,0.89846504691,False
workload_5094.cpp,xcu200-fsgd2104-2-e,3.33,1.44881973,200,2,0,3,9,block_2_1,block_16_1,block_64_1,block_16_1,block_2_1,block_4_1,block_4_1,block_4_1,block_128_1,cyclic_16_1,cyclic_32_1,block_64_1,cyclic_8_1,complete_1,unroll_4,pipeline_1,unroll_16,pipeline_1,1,3.5,0.87890968523,False
workload_5062.cpp,xcu200-fsgd2104-2-e,3.33,1.44881973,194,2,0,3,9,block_2_1,block_16_1,block_64_1,block_16_1,block_2_1,block_4_1,block_4_1,block_4_1,block_128_1,cyclic_4_1,cyclic_32_1,block_64_1,cyclic_8_1,complete_1,unroll_4,pipeline_1,unroll_16,pipeline_1,1,3.5,0.87890968523,False
workload_4984.cpp,xcu200-fsgd2104-2-e,3.33,2.47178907,197,2,0,2,9,block_2_1,block_16_1,block_64_1,block_16_1,block_2_1,block_4_1,block_4_1,block_4_1,block_32_1,cyclic_4_1,cyclic_128_1,block_64_1,cyclic_8_1,complete_1,unroll_4,pipeline_1,unroll_32,pipeline_1,1,3.25,0.878182684982,False
workload_5196.cpp,xcu200-fsgd2104-2-e,3.33,1.44881973,217,2,0,3,10,block_2_1,block_16_1,block_64_1,block_16_1,block_2_1,block_8_1,block_4_1,block_4_1,block_128_1,cyclic_4_1,cyclic_128_1,block_64_1,cyclic_8_1,complete_1,unroll_4,pipeline_1,unroll_64,pipeline_1,1,3.75,0.860474686186,False
workload_5145.cpp,xcu200-fsgd2104-2-e,3.33,1.45680174,186,2,0,2,7,block_2_1,block_16_1,cyclic_32_1,cyclic_2_1,cyclic_32_1,block_16_1,block_4_1,block_128_1,cyclic_16_1,cyclic_4_1,cyclic_32_1,cyclic_2_1,cyclic_128_1,complete_1,unroll_4,pipeline_1,unroll_16,pipeline_1,1,2.75,0.937008554258,False
workload_5001.cpp,xcu200-fsgd2104-2-e,3.33,3.80243376,199,3,0,2,8,block_2_1,block_2_1,block_2_1,block_16_1,block_2_1,block_8_1,cyclic_8_1,block_4_1,block_2_1,cyclic_2_1,cyclic_2_1,cyclic_128_1,block_8_1,complete_1,unroll_2,unroll_16,unroll_16,unroll_8,1,3.25,0.828124458597,False
