Version,Device,Clock_Period_nsec,Latency_msec,Synthesis_Time_sec,BRAM_Utilization_percentage,DSP_Utilization_percentage,FF_Utilization_percentage,LUT_Utilization_percentage,Array_1,Array_2,Array_3,Array_4,Array_5,Array_6,Array_7,Array_8,Array_9,Array_10,OuterLoop_1,OuterLoop_2,OuterLoop_3,InnerLoop_1_1,InnerLoop_1_2,InnerLoop_1_3,InnerLoop_1_4,InnerLoop_1_5,InnerLoop_2_1,Replicate_Count,Area,Weight,is_pareto
workload_5036.cpp,xcu200-fsgd2104-2-e,3.33,5821.24642317,242,3,0,1,5,block_16_1,block_16_1,block_4_1,cyclic_2_1,block_4_1,cyclic_8_1,cyclic_4_1,block_4_1,cyclic_2_1,cyclic_4_1,pipeline_1,unroll_2,unroll_2,pipeline_1,pipeline_1,unroll_16,unroll_8,unroll_2,unroll_32,1,2.25,0.483610906027,False
workload_5620.cpp,xcu200-fsgd2104-2-e,3.33,974.34862605,133,1,0,7,13,block_16_1,block_2_1,block_2_1,complete_2,complete_1,cyclic_4_1,block_2_1,cyclic_2_1,cyclic_4_1,cyclic_4_1,unroll_16,unroll_4,unroll_2,pipeline_1,pipeline_1,pipeline_1,unroll_8,unroll_2,unroll_32,1,5.25,0.772299374936,False
workload_5351.cpp,xcu200-fsgd2104-2-e,3.33,12172.8724392,231,2,0,7,14,block_16_1,block_2_1,block_32_1,block_2_2,complete_1,cyclic_4_1,block_2_1,block_4_1,cyclic_2_1,block_8_1,unroll_16,unroll_4,unroll_2,pipeline_1,pipeline_1,unroll_4,unroll_8,unroll_4,pipeline_1,1,5.75,0.119991834368,False
workload_5177.cpp,xcu200-fsgd2104-2-e,3.33,3963.29354253,198,2,0,4,8,block_16_1,block_2_1,block_4_1,cyclic_16_2,block_8_1,cyclic_4_1,cyclic_2_1,cyclic_2_1,cyclic_4_1,block_4_1,unroll_8,unroll_4,unroll_2,pipeline_1,unroll_8,unroll_4,unroll_8,unroll_2,unroll_64,1,3.5,0.602120393278,False
workload_5442.cpp,xcu200-fsgd2104-2-e,3.33,6015.69199629,114,0,0,1,3,block_16_1,block_2_1,cyclic_8_1,block_4_1,cyclic_8_1,block_8_1,block_2_1,cyclic_2_1,cyclic_4_1,complete_1,pipeline_1,unroll_4,unroll_2,unroll_16,pipeline_1,unroll_4,unroll_8,unroll_2,pipeline_1,1,1,0.478738990362,False
workload_5035.cpp,xcu200-fsgd2104-2-e,3.33,5933.43492237,224,0,0,1,7,block_16_1,block_2_1,cyclic_8_1,complete_2,complete_1,cyclic_4_1,block_2_1,cyclic_2_1,cyclic_4_1,block_8_1,pipeline_1,unroll_4,unroll_2,pipeline_1,pipeline_1,unroll_4,unroll_8,unroll_4,unroll_32,1,2,0.477789216378,False
workload_5300.cpp,xcu200-fsgd2104-2-e,3.33,5885.89040781,462,0,0,10,19,block_16_1,block_2_1,cyclic_8_1,complete_2,complete_1,cyclic_4_1,block_2_1,cyclic_2_1,cyclic_4_1,cyclic_4_1,unroll_16,unroll_4,unroll_2,unroll_16,pipeline_1,unroll_4,unroll_8,unroll_4,unroll_32,1,7.25,0.362096422754,False
workload_5514.cpp,xcu200-fsgd2104-2-e,3.33,2149.25020173,120,0,0,0,3,block_16_1,block_2_1,cyclic_8_1,cyclic_4_1,complete_1,block_8_1,block_2_1,cyclic_2_1,cyclic_4_1,cyclic_4_1,unroll_16,unroll_4,unroll_2,unroll_16,pipeline_1,unroll_4,unroll_8,unroll_2,pipeline_1,1,0.75,0.881594472225,False
workload_5335.cpp,xcu200-fsgd2104-2-e,3.33,2149.25020173,113,0,0,0,3,block_16_1,block_2_1,cyclic_8_1,cyclic_4_1,complete_1,cyclic_4_1,block_2_1,cyclic_2_1,cyclic_4_1,cyclic_4_1,unroll_16,unroll_4,unroll_2,unroll_16,pipeline_1,unroll_4,unroll_8,unroll_2,pipeline_1,1,0.75,0.881594472225,False
workload_5214.cpp,xcu200-fsgd2104-2-e,3.33,8483.75969805,272,1,0,10,18,block_16_1,block_4_1,cyclic_8_1,complete_2,cyclic_8_1,complete_1,block_2_1,cyclic_4_1,cyclic_4_1,cyclic_4_1,unroll_16,unroll_4,unroll_2,unroll_16,pipeline_1,unroll_4,unroll_8,unroll_2,pipeline_1,1,7.25,0.221121894756,False
