Version,Device,Clock_Period_nsec,Latency_msec,Synthesis_Time_sec,BRAM_Utilization_percentage,DSP_Utilization_percentage,FF_Utilization_percentage,LUT_Utilization_percentage,Array_1,Array_2,Array_3,Array_4,Array_5,Array_6,Array_7,Array_8,Array_9,Array_10,Array_11,Array_12,Array_13,Array_14,Array_15,OuterLoop_1,OuterLoop_2,InnerLoop_1_1,Replicate_Count,Area,Weight,is_pareto
workload_4946.cpp,xcu200-fsgd2104-2-e,3.33,0.08637354,1826,2,17,3,14,block_16_1,cyclic_2_1,cyclic_64_1,cyclic_128_1,cyclic_4_1,block_4_1,cyclic_16_1,block_4_1,block_128_1,cyclic_16_1,cyclic_8_1,block_4_1,cyclic_8_1,block_2_1,cyclic_8_1,unroll_16,unroll_4,unroll_8,1,9,0.192013161079,False
workload_4834.cpp,xcu200-fsgd2104-2-e,3.33,0.04399263,1628,2,0,9,10,block_16_1,cyclic_4_1,block_32_1,cyclic_128_1,cyclic_32_1,cyclic_8_1,cyclic_16_1,block_128_1,block_64_1,cyclic_128_1,cyclic_32_1,block_4_1,complete_1,complete_1,cyclic_8_1,unroll_64,unroll_4,pipeline_1,1,5.25,0.458243420581,False
workload_4935.cpp,xcu200-fsgd2104-2-e,3.33,0.04947714,1826,2,15,3,14,block_16_1,cyclic_4_1,block_32_1,cyclic_8_1,block_8_1,block_16_1,block_8_1,cyclic_128_1,block_64_1,cyclic_16_1,cyclic_8_1,block_64_1,cyclic_8_1,complete_1,cyclic_8_1,unroll_16,unroll_4,pipeline_1,1,8.5,0.228339058709,False
workload_4878.cpp,xcu200-fsgd2104-2-e,3.33,0.08721603,1834,2,17,3,14,block_16_1,cyclic_4_1,block_32_1,cyclic_8_1,cyclic_2_1,block_4_1,block_4_1,block_4_1,block_64_1,cyclic_16_1,cyclic_8_1,block_64_1,cyclic_8_1,complete_1,cyclic_8_1,unroll_16,unroll_4,unroll_8,1,9,0.191699340663,False
workload_4910.cpp,xcu200-fsgd2104-2-e,3.33,0.04423572,1658,2,0,9,10,block_16_1,cyclic_4_1,block_64_1,block_32_1,cyclic_32_1,cyclic_8_1,cyclic_16_1,block_8_1,block_64_1,block_4_1,cyclic_4_1,block_128_1,complete_1,complete_1,cyclic_8_1,unroll_64,unroll_4,pipeline_1,1,5.25,0.458075951474,False
workload_5047.cpp,xcu200-fsgd2104-2-e,3.33,4.995e-05,1064,2,5,10,17,block_2_1,cyclic_128_1,cyclic_128_1,block_16_1,block_128_1,block_64_1,block_16_1,block_4_1,cyclic_4_1,cyclic_4_1,cyclic_32_1,block_64_1,cyclic_4_1,block_2_1,block_2_1,pipeline_1,unroll_2,pipeline_1,1,8.5,0.235268764186,False
workload_5004.cpp,xcu200-fsgd2104-2-e,3.33,4.995e-05,785,2,5,7,14,block_2_1,cyclic_128_1,cyclic_128_1,block_16_1,cyclic_64_1,block_64_1,block_16_1,block_4_1,cyclic_4_1,cyclic_4_1,cyclic_32_1,block_8_1,block_8_1,block_2_1,block_2_1,pipeline_1,unroll_2,pipeline_1,1,7,0.330611412591,False
workload_4985.cpp,xcu200-fsgd2104-2-e,3.33,4.995e-05,781,2,5,7,13,block_2_1,cyclic_128_1,cyclic_128_1,block_16_1,cyclic_64_1,block_64_1,block_16_1,block_4_1,cyclic_4_1,cyclic_4_1,cyclic_32_1,cyclic_2_1,block_8_1,block_2_1,block_2_1,pipeline_1,unroll_2,pipeline_1,1,6.75,0.348959780193,False
workload_5109.cpp,xcu200-fsgd2104-2-e,3.33,4.995e-05,841,3,1,8,14,block_2_1,cyclic_16_1,cyclic_2_1,block_16_1,block_128_1,cyclic_128_1,cyclic_2_1,block_2_1,block_128_1,cyclic_128_1,cyclic_128_1,cyclic_4_1,block_8_1,cyclic_8_1,block_2_1,pipeline_1,unroll_2,unroll_2,1,6.5,0.36801041242,False
workload_5073.cpp,xcu200-fsgd2104-2-e,3.33,4.995e-05,1125,2,3,8,15,block_2_1,cyclic_2_1,cyclic_128_1,block_16_1,block_128_1,cyclic_128_1,block_16_1,cyclic_64_1,cyclic_2_1,cyclic_128_1,cyclic_4_1,cyclic_4_1,block_8_1,cyclic_8_1,block_8_1,pipeline_1,unroll_2,pipeline_1,1,7,0.330611412591,False
workload_5106.cpp,xcu200-fsgd2104-2-e,3.33,0.04952043,865,2,0,10,16,block_2_1,cyclic_32_1,block_64_1,block_8_1,cyclic_2_1,cyclic_8_1,block_16_1,cyclic_16_1,cyclic_2_1,block_4_1,cyclic_4_1,block_64_1,block_8_1,cyclic_8_1,block_8_1,unroll_16,unroll_4,pipeline_1,1,7,0.319413036568,False
workload_5088.cpp,xcu200-fsgd2104-2-e,3.33,4.995e-05,730,3,1,7,12,block_2_1,cyclic_32_1,cyclic_2_1,block_16_1,block_128_1,cyclic_8_1,block_16_1,cyclic_64_1,block_32_1,block_4_1,cyclic_4_1,cyclic_4_1,cyclic_4_1,cyclic_8_1,block_2_1,pipeline_1,unroll_2,pipeline_1,1,5.75,0.429375896835,False
workload_4900.cpp,xcu200-fsgd2104-2-e,3.33,0.05150511,568,2,0,7,11,block_2_1,cyclic_4_1,cyclic_32_1,block_8_1,block_8_1,cyclic_64_1,cyclic_4_1,block_2_1,cyclic_64_1,block_8_1,block_8_1,block_32_1,cyclic_8_1,cyclic_4_1,cyclic_2_1,unroll_8,unroll_4,pipeline_1,1,5,0.474112888169,False
workload_4938.cpp,xcu200-fsgd2104-2-e,3.33,0.0517482,561,2,0,7,11,block_2_1,cyclic_4_1,cyclic_32_1,block_8_1,cyclic_8_1,cyclic_64_1,cyclic_4_1,block_2_1,cyclic_64_1,block_8_1,block_8_1,block_32_1,cyclic_8_1,cyclic_4_1,cyclic_2_1,unroll_8,unroll_4,pipeline_1,1,5,0.473904808226,False
workload_4956.cpp,xcu200-fsgd2104-2-e,3.33,4.995e-05,718,3,1,7,12,block_2_1,cyclic_8_1,cyclic_2_1,block_16_1,block_128_1,cyclic_128_1,block_16_1,block_2_1,cyclic_2_1,cyclic_128_1,cyclic_128_1,cyclic_4_1,block_8_1,cyclic_4_1,block_2_1,pipeline_1,unroll_2,pipeline_1,1,5.75,0.429375896835,False
