Version,Device,Clock_Period_nsec,Latency_msec,Synthesis_Time_sec,BRAM_Utilization_percentage,DSP_Utilization_percentage,FF_Utilization_percentage,LUT_Utilization_percentage,OuterLoop_1,InnerLoop_1_1,InnerLoop_2_1,InnerLoop_3_1,Replicate_Count,Area,Weight,is_pareto
stencil_1217.c,xcu200-fsgd2104-2-e,3.33,0.04032297,55,0,1,0,1,pipeline_1,pipeline_1,pipeline_1,pipeline_1,12,0.5,0.956171516894,False
stencil_1209.c,xcu200-fsgd2104-2-e,3.33,0.04032297,51,0,1,0,1,pipeline_1,pipeline_1,pipeline_1,unroll_3,8,0.5,0.956171516894,False
stencil_1233.c,xcu200-fsgd2104-2-e,3.33,0.04037292,55,0,1,0,1,pipeline_1,pipeline_1,unroll_3,pipeline_1,5,0.5,0.956171348184,False
stencil_1246.c,xcu200-fsgd2104-2-e,3.33,0.04037292,56,0,1,0,1,pipeline_1,pipeline_1,unroll_3,unroll_3,4,0.5,0.956171348184,False
stencil_1218.c,xcu200-fsgd2104-2-e,3.33,0.04037292,58.5,0,1,0,1,pipeline_1,unroll_16,unroll_3,pipeline_1,2,0.5,0.956171348184,False
stencil_1210.c,xcu200-fsgd2104-2-e,3.33,0.04037292,57,0,1,0,1,pipeline_1,unroll_16,unroll_3,unroll_3,1,0.5,0.956171348184,False
stencil_1228.c,xcu200-fsgd2104-2-e,3.33,0.04032297,52,0,1,0,1,pipeline_1,unroll_2,pipeline_1,pipeline_1,2,0.5,0.956171516894,False
stencil_1216.c,xcu200-fsgd2104-2-e,3.33,0.04032297,55,0,1,0,1,pipeline_1,unroll_2,pipeline_1,unroll_3,2,0.5,0.956171516894,False
stencil_1234.c,xcu200-fsgd2104-2-e,3.33,0.04037292,53,0,1,0,1,pipeline_1,unroll_2,unroll_3,pipeline_1,1,0.5,0.956171348184,False
stencil_1411.c,xcu200-fsgd2104-2-e,3.33,0.04037292,50,0,1,0,1,pipeline_1,unroll_2,unroll_3,unroll_3,1,0.5,0.956171348184,False
stencil_1221.c,xcu200-fsgd2104-2-e,3.33,0.04032297,54.5,0,1,0,1,pipeline_1,unroll_4,pipeline_1,pipeline_1,2,0.5,0.956171516894,False
stencil_1248.c,xcu200-fsgd2104-2-e,3.33,0.04032297,53,0,1,0,1,pipeline_1,unroll_4,pipeline_1,unroll_3,1,0.5,0.956171516894,False
stencil_1260.c,xcu200-fsgd2104-2-e,3.33,0.04037292,52,0,1,0,1,pipeline_1,unroll_4,unroll_3,pipeline_1,1,0.5,0.956171348184,False
stencil_1272.c,xcu200-fsgd2104-2-e,3.33,0.04032297,61,0,1,0,1,pipeline_1,unroll_62,pipeline_1,pipeline_1,5,0.5,0.956171516894,False
stencil_1261.c,xcu200-fsgd2104-2-e,3.33,0.04031964,49,0,1,0,0,pipeline_1,unroll_62,pipeline_1,unroll_3,4,0.25,1,True
stencil_1229.c,xcu200-fsgd2104-2-e,3.33,0.04037292,58,0,1,0,1,pipeline_1,unroll_62,unroll_3,pipeline_1,3,0.5,0.956171348184,False
stencil_1227.c,xcu200-fsgd2104-2-e,3.33,0.04031964,50,0,1,0,0,pipeline_1,unroll_62,unroll_3,unroll_3,2,0.25,1,True
stencil_1326.c,xcu200-fsgd2104-2-e,3.33,0.04032297,55,0,1,0,1,pipeline_1,unroll_8,pipeline_1,pipeline_1,1,0.5,0.956171516894,False
stencil_1245.c,xcu200-fsgd2104-2-e,3.33,0.04032297,53.5,0,1,0,1,pipeline_1,unroll_8,pipeline_1,unroll_3,2,0.5,0.956171516894,False
stencil_1265.c,xcu200-fsgd2104-2-e,3.33,0.04037292,52,0,1,0,1,pipeline_1,unroll_8,unroll_3,pipeline_1,2,0.5,0.956171348184,False
