Version,Device,Clock_Period_nsec,Latency_msec,Synthesis_Time_sec,BRAM_Utilization_percentage,DSP_Utilization_percentage,FF_Utilization_percentage,LUT_Utilization_percentage,Array_1,Array_2,Array_3,OuterLoop_1,OuterLoop_2,OuterLoop_3,OuterLoop_4,OuterLoop_5,InnerLoop_1_1,InnerLoop_1_2,InnerLoop_1_3,InnerLoop_2_1,Replicate_Count,Area,Weight,is_pareto
workload_182.cpp,xczu7ev-ffvc1156-2-e,10,201.01386,162.5,47,7,20,35,block_16_1,block_2_1,cyclic_2_1,pipeline_1,pipeline_1,pipeline_1,pipeline_1,unroll_32,unroll_8,unroll_2,pipeline_1,unroll_4,2,27.25,0.787719868438,False
workload_90.cpp,xczu7ev-ffvc1156-2-e,10,213.2808,155,47,7,19,33,block_16_1,block_4_1,block_64_1,unroll_5,pipeline_1,pipeline_1,pipeline_1,unroll_2,unroll_34,pipeline_1,unroll_5,unroll_34,1,26.5,0.7998906064,False
workload_148.cpp,xczu7ev-ffvc1156-2-e,10,211.3553,145,47,7,19,33,block_16_1,block_4_1,block_64_1,unroll_5,pipeline_1,pipeline_1,unroll_32,unroll_2,unroll_34,unroll_4,pipeline_1,unroll_8,1,26.5,0.799919469899,False
workload_134.cpp,xczu7ev-ffvc1156-2-e,10,210.25509,143,47,7,19,33,block_16_1,block_4_1,cyclic_8_1,pipeline_1,pipeline_1,pipeline_1,unroll_16,unroll_4,pipeline_1,unroll_4,pipeline_1,unroll_2,1,26.5,0.799935822346,False
workload_150.cpp,xczu7ev-ffvc1156-2-e,10,283.22642,484,47,7,20,52,block_16_1,cyclic_128_1,block_64_1,pipeline_1,pipeline_1,pipeline_1,unroll_8,unroll_32,unroll_16,pipeline_1,unroll_5,unroll_34,1,31.5,0.713791771261,False
workload_496.cpp,xczu7ev-ffvc1156-2-e,10,201.85461,148,47,7,19,32,block_16_1,cyclic_2_1,block_64_1,pipeline_1,pipeline_1,pipeline_1,unroll_32,unroll_8,pipeline_1,unroll_4,pipeline_1,unroll_8,1,26.25,0.800465800258,False
workload_139.cpp,xczu7ev-ffvc1156-2-e,10,20033.58085,1056,46,11,21,92,block_16_1,cyclic_32_1,cyclic_128_1,pipeline_1,pipeline_1,unroll_16,unroll_2,unroll_4,unroll_2,unroll_4,unroll_5,unroll_2,1,42.5,0.175988117654,False
workload_94.cpp,xczu7ev-ffvc1156-2-e,10,29348.36685,1116,46,37,22,93,block_16_1,cyclic_32_1,cyclic_128_1,pipeline_1,unroll_8,unroll_16,unroll_2,unroll_4,unroll_2,unroll_4,unroll_5,unroll_2,1,49.5,0.1,False
workload_197.cpp,xczu7ev-ffvc1156-2-e,10,211.31343,137,48,7,21,34,block_16_1,cyclic_4_1,block_2_1,pipeline_1,pipeline_1,pipeline_1,unroll_32,unroll_2,pipeline_1,pipeline_1,pipeline_1,unroll_2,1,27.5,0.784465681651,False
workload_146.cpp,xczu7ev-ffvc1156-2-e,10,283.11629,245,46,7,21,44,block_16_1,cyclic_64_1,block_16_1,unroll_5,pipeline_1,pipeline_1,unroll_8,unroll_32,unroll_34,pipeline_1,unroll_5,unroll_34,1,29.5,0.750084601595,False
