Version,Device,Clock_Period_nsec,Latency_msec,Synthesis_Time_sec,BRAM_Utilization_percentage,DSP_Utilization_percentage,FF_Utilization_percentage,LUT_Utilization_percentage,Array_1,Array_2,Array_3,Array_4,Array_5,Array_6,Array_7,OuterLoop_1,OuterLoop_2,OuterLoop_3,OuterLoop_4,OuterLoop_5,InnerLoop_1_1,InnerLoop_1_2,InnerLoop_1_3,InnerLoop_1_4,InnerLoop_1_5,InnerLoop_1_6,InnerLoop_2_1,InnerLoop_2_2,InnerLoop_2_3,InnerLoop_2_4,InnerLoop_2_5,InnerLoop_2_6,InnerLoop_2_7,InnerLoop_3_1,Replicate_Count,Area,Weight,is_pareto
workload_653.cpp,xczu7ev-ffvc1156-2-e,10,14.87173,1440,51,1,13,86,cyclic_4_1,cyclic_128_1,block_128_1,block_128_1,cyclic_128_1,block_2_1,cyclic_4_1,pipeline_1,pipeline_1,pipeline_1,pipeline_1,unroll_2,unroll_5,pipeline_1,unroll_4,pipeline_1,unroll_8,unroll_2,pipeline_1,unroll_2,unroll_2,unroll_36,pipeline_1,pipeline_1,unroll_4,unroll_5,1,37.75,0.273766644447,False
workload_745.cpp,xczu7ev-ffvc1156-2-e,10,36.15637,1356,43,1,13,73,cyclic_4_1,cyclic_128_1,block_128_1,block_64_1,block_8_1,block_2_1,cyclic_4_1,pipeline_1,pipeline_1,pipeline_1,pipeline_1,unroll_2,pipeline_1,pipeline_1,unroll_4,unroll_4,unroll_8,unroll_2,unroll_5,unroll_16,unroll_2,unroll_16,unroll_16,pipeline_1,unroll_4,unroll_5,1,32.5,0.424332249547,False
workload_535.cpp,xczu7ev-ffvc1156-2-e,10,35.80083,1443,43,1,12,70,cyclic_4_1,cyclic_128_1,block_128_1,block_64_1,block_8_1,complete_1,cyclic_2_1,pipeline_1,pipeline_1,unroll_8,pipeline_1,unroll_2,pipeline_1,unroll_4,unroll_4,pipeline_1,unroll_32,unroll_2,pipeline_1,pipeline_1,pipeline_1,unroll_36,unroll_16,pipeline_1,unroll_4,unroll_5,1,31.5,0.458424261438,False
workload_655.cpp,xczu7ev-ffvc1156-2-e,10,35.80443,1541,43,1,12,79,cyclic_4_1,cyclic_128_1,block_128_1,block_64_1,block_8_1,complete_1,cyclic_2_1,pipeline_1,pipeline_1,unroll_8,pipeline_1,unroll_2,pipeline_1,unroll_4,unroll_4,pipeline_1,unroll_32,unroll_2,pipeline_1,unroll_16,unroll_2,unroll_36,unroll_16,pipeline_1,unroll_4,unroll_5,1,33.75,0.384143220342,False
workload_752.cpp,xczu7ev-ffvc1156-2-e,10,17.44908,1529,66,1,10,87,cyclic_4_1,cyclic_128_1,cyclic_16_1,block_128_1,cyclic_128_1,block_2_1,cyclic_4_1,unroll_5,pipeline_1,unroll_8,pipeline_1,unroll_2,unroll_5,unroll_4,unroll_2,unroll_2,unroll_2,unroll_2,unroll_5,unroll_4,unroll_2,unroll_16,unroll_16,pipeline_1,unroll_4,pipeline_1,1,41,0.203345608175,False
workload_877.cpp,xczu7ev-ffvc1156-2-e,10,13.60165,969,33,1,10,73,cyclic_4_1,cyclic_128_1,cyclic_16_1,block_4_1,cyclic_128_1,block_2_1,cyclic_4_1,unroll_5,pipeline_1,pipeline_1,pipeline_1,unroll_2,unroll_5,pipeline_1,unroll_2,unroll_4,unroll_2,unroll_2,unroll_5,unroll_2,unroll_2,unroll_16,unroll_16,pipeline_1,unroll_4,unroll_5,1,29.25,0.543897975444,False
workload_726.cpp,xczu7ev-ffvc1156-2-e,10,14.01277,1325,51,1,11,82,cyclic_4_1,cyclic_128_1,cyclic_2_1,block_128_1,cyclic_128_1,block_2_1,cyclic_4_1,pipeline_1,pipeline_1,pipeline_1,pipeline_1,unroll_2,unroll_5,pipeline_1,unroll_4,pipeline_1,unroll_32,unroll_2,pipeline_1,unroll_2,unroll_4,unroll_2,pipeline_1,pipeline_1,unroll_4,unroll_5,1,36.25,0.312400220017,False
workload_680.cpp,xczu7ev-ffvc1156-2-e,10,683.27293,1049,51,1,10,76,cyclic_4_1,cyclic_128_1,cyclic_2_1,block_128_1,cyclic_128_1,block_2_1,cyclic_4_1,pipeline_1,unroll_2,pipeline_1,pipeline_1,unroll_2,unroll_5,unroll_4,unroll_4,unroll_4,unroll_2,unroll_2,unroll_5,unroll_2,unroll_2,unroll_4,unroll_16,pipeline_1,unroll_4,unroll_5,1,34.5,0.1,False
workload_750.cpp,xczu7ev-ffvc1156-2-e,10,14.01637,1421,51,1,11,83,cyclic_4_1,cyclic_128_1,cyclic_2_1,block_128_1,cyclic_64_1,block_2_1,cyclic_4_1,pipeline_1,pipeline_1,pipeline_1,pipeline_1,unroll_2,pipeline_1,pipeline_1,unroll_4,unroll_4,unroll_32,unroll_2,pipeline_1,unroll_2,unroll_4,unroll_16,pipeline_1,pipeline_1,unroll_4,unroll_5,1,36.5,0.305692745336,False
workload_741.cpp,xczu7ev-ffvc1156-2-e,10,14.07937,1539,51,1,10,83,cyclic_4_1,cyclic_128_1,cyclic_2_1,block_128_1,cyclic_64_1,complete_1,cyclic_4_1,pipeline_1,pipeline_1,unroll_36,pipeline_1,unroll_2,pipeline_1,pipeline_1,unroll_4,pipeline_1,unroll_32,unroll_2,unroll_5,unroll_2,unroll_2,unroll_16,pipeline_1,pipeline_1,unroll_4,unroll_5,1,36.25,0.31240001418,False
